TÂ°C,RT/R25,R2,U2,12b
-55,96.30000,963000,4.949,4054
-50,67.01000,670100,4.926,4036
-45,47.17000,471700,4.896,4011
-40,33.65000,336500,4.856,3978
-35,24.26000,242600,4.802,3934
-30,17.70000,177000,4.733,3877
-25,13.04000,130400,4.644,3804
-20,9.70700,97070,4.533,3713
-15,7.29300,72930,4.397,3602
-10,5.53300,55330,4.235,3469
-5,4.23200,42320,4.044,3313
0,3.26500,32650,3.828,3136
5,2.53900,25390,3.587,2939
10,1.99000,19900,3.328,2726
15,1.57100,15710,3.055,2503
20,1.24900,12490,2.777,2275
25,1.00000,10000,2.500,2048
30,0.80570,8057,2.231,1828
35,0.65310,6531,1.975,1618
40,0.53270,5327,1.738,1424
45,0.43690,4369,1.520,1245
50,0.36030,3603,1.324,1085
55,0.29860,2986,1.150,942
60,0.24880,2488,0.996,816
65,0.20830,2083,0.862,706
70,0.17520,1752,0.745,611
75,0.14810,1481,0.645,528
80,0.12580,1258,0.559,458
85,0.10720,1072,0.484,397
90,0.09177,918,0.420,344
95,0.07885,789,0.365,299
100,0.06800,680,0.318,261
105,0.05886,589,0.278,228
110,0.05112,511,0.243,199
115,0.04454,445,0.213,175
120,0.03893,389,0.187,153
125,0.03417,342,0.165,135
130,0.03009,301,0.146,120
135,0.02654,265,0.129,106
140,0.02348,235,0.115,94
145,0.02083,208,0.102,84
150,0.01853,185,0.091,75
155,0.01653,165,0.081,67
